Longitud,Latitud,Elevacion
-71.98814209253483,-13.52252884701721,3427.0
-71.98815783978701,-13.52253649177896,3427.0
-71.98817100009293,-13.52253842446054,3427.0
-71.9881864601783,-13.52254202809188,3427.0
-71.98819734325988,-13.52254229251201,3427.0
-71.98821080977079,-13.52254827242055,3427.0
-71.9882219849642,-13.52255258224088,3427.0
-71.98823774260299,-13.52256023270715,3427.0
-71.98824891970571,-13.52256454337305,3427.0
-71.98826238747846,-13.52257052365676,3427.0
-71.98827585513448,-13.52257650416035,3427.0
-71.98828729746754,-13.52258484953971,3427.0
-71.98829873465026,-13.52259319111562,3427.0
-71.98831245237858,-13.52260319648073,3427.0
-71.98832387828207,-13.52261152963515,3427.0
-71.98833301518711,-13.52261819364208,3427.0
-71.98834239623056,-13.52262887199978,3427.0
-71.98835404920023,-13.52264120348856,3427.0
-71.9883611325507,-13.52265019908147,3427.0
-71.98837048785619,-13.52266084824737,3427.0
-71.98837755832821,-13.52266982806809,3427.0
-71.9883848575406,-13.52268279216055,3427.0
-71.98839191452588,-13.52269175353642,3427.0
-71.98839488397103,-13.52270535855168,3427.0
-71.98839988747152,-13.52271662001663,3427.0
-71.98840715311749,-13.52272951942109,3427.0
-71.98841010278791,-13.52274306202052,3427.0
-71.98840874673643,-13.52275723977879,3427.0
-71.9884137252938,-13.52276843242523,3427.0
-71.98841259335944,-13.52278649756215,3427.0
-71.98841310787243,-13.52280233666407,3427.0
-71.98841296736536,-13.52281433361883,3427.0
-71.98841282737156,-13.52282630134326,3427.0
-71.98840619337103,-13.52284120135453,3427.0
-71.98840171399925,-13.52285770652454,3427.0
-71.98839725038272,-13.52287415170262,3427.0
-71.98839284136686,-13.52288660551328,3427.0
-71.98838632187716,-13.52289737959484,3427.0
-71.98837766659332,-13.52291039710108,3427.0
-71.988371157019,-13.52292500976803,3442.0
-71.98836683861764,-13.5229334265206,3442.0
-71.98836038982023,-13.52294407881095,3442.0
-71.98835393548315,-13.52295857563865,3442.0
-71.98834750274611,-13.52297302326137,3442.0
-71.98834321541648,-13.52298519504785,3442.0
-71.98833893899871,-13.52299733140058,3442.0
-71.98833677497595,-13.52301104641806,3442.0
-71.9883367285404,-13.52302251279593,3442.0
-71.98833668229157,-13.52303395165304,3442.0
-71.98833872846572,-13.52304696639388,3442.0
-71.98834076899887,-13.52305994757084,3442.0
-71.98835120840964,-13.52306794021144,3442.0
-71.988353251332,-13.52307709665984,3442.0
-71.98836364417488,-13.52308884009128,3442.0
-71.98836985982894,-13.5230973813317,3442.0
-71.98837609755934,-13.52310215297834,3442.0
-71.98839063862886,-13.523113275555,3442.0
-71.98840308634901,-13.52312279730025,3442.0
-71.9884134938486,-13.52312698033509,3442.0
-71.9884238501763,-13.52313490389185,3442.0
-71.98843637206629,-13.52313692858383,3442.0
-71.9918844545888,-13.52521437150554,3501.0
-71.99316272065917,-13.52366729794911,3493.0
-71.9933103200723,-13.52354806437835,3493.0
-71.99333290567832,-13.5235484140925,3493.0
-71.9933647094124,-13.52354709382867,3493.0
-71.99338735288954,-13.52354744265313,3493.0
-71.99342732960643,-13.52354509619902,3493.0
-71.99345745498476,-13.52354479202121,3493.0
-71.9934793886853,-13.52354558357373,3493.0
-71.99350750886315,-13.52354037878394,3493.0
-71.99353967354241,-13.52353899807913,3493.0
-71.99356645063806,-13.52354319162793,3493.0
-71.9935892702842,-13.52354355085062,3493.0
-71.99362155794326,-13.52354217108633,3493.0
-71.9936484005127,-13.52354637184158,3493.0
-71.99366182687795,-13.52354847308032,3493.0
-71.99369421825044,-13.52354709590329,3493.0
-71.993711617604,-13.52355304273006,3493.0
-71.99374246131772,-13.52356109290143,3493.0
-71.9937710058778,-13.52355588033875,3521.0
-71.99379235272943,-13.5235656753918,3521.0
-71.9938192928781,-13.52356989097298,3521.0
-71.99385188000376,-13.52356852949815,3521.0
-71.99387886616847,-13.52357275064823,3521.0
-71.99391154197318,-13.52357138995428,3521.0
-71.99393857481874,-13.52357561638629,3521.0
-71.99396171470123,-13.52357599429052,3521.0
-71.9939945156872,-13.52357463432382,3521.0
-71.99402347318018,-13.52356941208289,3521.0
-71.99404671306532,-13.52356978758938,3521.0
-71.99407966901893,-13.52356841871797,3521.0
-71.99410557080054,-13.52357326016106,3521.0
-71.99413850147097,-13.52357761268694,3521.0
-71.99416274436422,-13.52358321586856,3521.0
-71.994192198402,-13.52358350920969,3521.0
-71.99422312490303,-13.52357752071199,3521.0
-71.99424745980588,-13.5235774738761,3521.0
-71.99427844380226,-13.52358566109188,3521.0
-71.99429888215056,-13.5235959200709,3521.0
-71.99433055392689,-13.52358969706745,3521.0
-71.99436157098393,-13.52359789299524,3521.0
-71.99438931890015,-13.52360197598433,3521.0
-71.99441382516551,-13.52360194654739,3521.0
-71.99444487602274,-13.52361015129875,3521.0
-71.99447268297179,-13.52361424281268,3521.0
-71.99450051079202,-13.52361833751467,3521.0
-71.99453158224527,-13.52362654813752,3521.0
-71.9945605190594,-13.52361623239111,3521.0
-71.994594859462,-13.52362857725415,3521.0
-71.99462278487384,-13.52363268520708,3521.0
-71.99465073154926,-13.52363679605255,3521.0
-71.99467869742409,-13.52364091042088,3521.0
-71.99471117709993,-13.52363472195796,3521.0
-71.99474692677407,-13.52363264764534,3521.0
-71.99478614356241,-13.5236346112586,3521.0
-71.99482390112004,-13.52363181556164,3521.0
-71.9948502416216,-13.52363130771569,3521.0
-71.99489320090177,-13.52361800218746,3521.0
-71.99492268194149,-13.52362170879544,3521.0
-71.99494985881277,-13.52362630963496,3521.0
-71.99498748486302,-13.52361514710266,3521.0
-71.99501472515053,-13.52361975586978,3521.0
-71.99504558467488,-13.52361442697632,3521.0
-71.99507651534715,-13.52360908567453,3521.0
-71.99511084561301,-13.52360782895107,3521.0
-71.99513154914767,-13.52360425708035,3521.0
-71.99519358599663,-13.52359986014144,3521.0
-71.99521950006361,-13.52357336584423,3521.0
-71.995246250742,-13.52355723911342,3521.0
-71.9952731079831,-13.52354104829875,3521.0
-71.99530499856822,-13.52352913330603,3521.0
-71.99533699790304,-13.52351717794318,3521.0
-71.99536042166994,-13.52351771466642,3521.0
-71.99539313625978,-13.52351634357095,3521.0
-71.99542590064831,-13.52351497061078,3521.0
-71.99544940658068,-13.52351550815019,3521.0
-71.99547813745365,-13.52351991635998,3521.0
-71.99551106447288,-13.52350712930531,3521.0
-71.9955397793857,-13.52351170745608,3521.0
-71.99557214301346,-13.52350002114213,3521.0
